,input,target
593,بيتك كبير. كم غرفة؟,منزلك كبير. كيف العديد من الغرف؟
594,انبسطنا بالعشا.,انتشرنا إلى العش.
595,فهمت، بس ما بقدر أقوله.,فهمت ، لكن بقدر ما أقول.
596,أوه، إي، إذا سمحت. بتمنى بس أنو ما يصير معون دوار البحر.,أوه ، ه ، إذا سمحت ، أتمنى ، ولكن ما يحدث مع دوار البحر.
597,عطوكيو، إذا سمحت.,Atukio ، إذا سمح.
598,إيمت منوصل تقريباً؟,هل لديك تقريبا؟
599,أنا طالع بكرة بكير، بقا بدي أدفع هلئ.,أرى Bakir ، أريد أن أدفع.
600,نبيذ دراي، إذا سمحت.,النبيذ الجاف ، إذا سمح به.
601,مقعد بدون تدخين، إذا سمحت.,مقعد دون التدخين ، إذا سمح.
602,هو مشغول هلئ.,هو مشغول.
603,بيحسنوا الأجانب يوصلوا للكتب يلي بهالمكتبة؟,هل تحسن الأجانب للوصول إلى الكتب التي تتبع المكتبة؟
604,في مجال أضل بغرفتي للساعة تنتين بعد الضهر؟,في حقل غرفتي لمشاهدة Tentin بعد الظهر؟
605,ها-ها. صباح الخير ع توقيتك. ما مشكلة.,H-ha.good صباح توقيت الخاص بك. ما هو المشكلة.
606,بدي فيلم رقم ال ايه اس ايه هاد لهي الكاميرا، إذا سمحت.,أريد LSA هذه الكاميرا ، إنها الكاميرا ، إذا سمحت بذلك.
607,وين لوحات مونيت؟,أين لوحات مونيه؟
608,هالبيتزا طيبة. مين ساواها؟,Halbza جيد. من فعل ذلك؟
609,اش طعمة هالطبق؟,ما هذا الطبق؟
610,كمان هنن غاليات.,أيضا ، هم عزيزون.
611,إيمت بطلع القطار الجاي ع بوسطن؟,ماذا تحصل على القطار التالي في بوسطن؟
612,عم بخطط أتعلم غولف.,العم في الخطط ، تعلم الجولف.
613,إذا سمحت عطيني مشروب تاني.,إذا أعطتني مشروبًا آخر.
614,شقدو متزلج معلم.,معلم التزلج شاك.
615,للأسف الكمام قصار كتير.,لسوء الحظ ، اللوم قصير جدا.
616,خرج تفرجيني شلون أعبي البنزين؟,خرجت ، كيف تخرج من البنزين؟
617,كلفة الفندق بتتضمن الفطور؟,تكلفة الفندق تشمل الإفطار؟
618,هاد كل شي؟,هذا كل شيء؟
619,هو بآخر هالشارع.,إنه الشارع الأخير.
620,إذا سمحت شغل العداد.,إذا سمحت للعداد.
621,غرفتي كتير باردة.,غرفتي باردة جدا.
622,هو هناك، قدام الاستعلامات السياحية على طول.,هناك ، أمام المعلومات السياحية على طول.
623,عمرى ما سمعت عن العنوان دة هنا.,لم تسمع حياتي عن العنوان هنا.
624,امشى على طول لحد ما تشوف صيدلية.,المشي إلى حد ما ترى صيدلية.
625,بكام الفطار؟,كم الإفطار؟
626,إزاى أقدر أساعدك؟,كيف يمكنني مساعدك؟
627,روح شمال عند الناصية الثالثة.,الروح الشمالية في الزاوية الثالثة.
628,تحب كريمة وسكر فى القهوة بتاعتك؟,هل تحب الكرامة والسكر في قهوتك؟
629,ممكن تدفع الشيك بتاعى اللى بميتين دولار؟,هل يمكنك دفع الشيك للمرء بدولارين؟
630,لو المفروض يظهر، كلمنى لو سمحت.,إذا كان من المفترض أن تظهر ، تحدث معي ، من فضلك.
631,فين الكوفى شوب؟,أين متجر كوفي؟
632,عاوز بلوفر أطفال.,اريد ان اكون أطفال.
633,أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.,حسنًا ، يكلف خمسة وثمانين سنتًا للبريد الإلكتروني العادي وثلاثة دولارات ، بالإضافة إلى التسليم الخاص.
634,كنت هشترى دة لو كنت مكانك.,سأشتري هذا إذا كنت في مكانك.
635,هلاقى أى صعوبة مع الجمارك؟,ما هي الصعوبة في الجمارك؟
636,عندك شوز رسمية بوش واسع؟,هل لديك تشكيل بوش واسع؟
637,لأ. ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.,لا. هل أقترح أن سريرين من شخص واحد كحل بديل؟
638,عاوز كيرلى جامد، من فضلك.,أريد كورلي جامد ، من فضلك.
639,هى عاوزة بيرة.,إنها بيرة.
640,صباح الخير. عامل إيه؟,صباح الخير ما تفعلون؟
641,للأسف هحتاج أشوف بطاقة تحقيق شخصية.,لسوء الحظ ، أحتاج إلى رؤية بطاقة تحقيق شخصية.
642,إيه نوع الصوص؟,أي نوع من الصلصة؟
643,دة بارد شوية. هتسخنه؟,هذا بارد. هل تسخنها؟
644,معلش، المكان دة محجوز.,لا ، المكان محجوز.
645,أنا تمام. بس ممكن تكلم صاحبى؟,أنا بخير ، لكن هل يستطيع صديقي التحدث؟
646,شكرا، دة كفاية.,شكرا ، هذا يكفي.
647,مين أقرب صديق ليك؟,من هو أقرب صديق لك؟
648,يوم الصحة والرياضة فى العاشر من أكتوبر هو عيد قومى مصمم لتحسين صحة الناس.,يوم الصحة والرياضة في 10 أكتوبر هو عيد وطني مصمم لتحسين صحة الناس.
649,عاوزنى أدور تحت الكبوت؟,هل تريد أن تتحول تحت كابوت؟
650,ممكن تساعدنى ألاقى شنطة السفر بتاعتى؟,هل يمكنك مساعدتي في العثور على حقيبة السفر؟
651,ممكن تعمل استعدادات من بدرى؟,هل يمكنك القيام بالاستعدادات من بدري؟
652,فى حد بيساعدنى. شكرا.,أي شخص يساعدني شكرا.
653,لما توصل هناك، إسأل حد تانى، لو سمحت.,عندما وصل إلى هناك ، اسأل مرة أخرى ، من فضلك.
654,عاوز اكستنشن أربعة وعشرين، من فضلك.,أريد عشرين ربعًا من فضلك.
655,آدى اتنين دولار. خلى الباقى.,اثنين دولار. اربط الباقي.
656,واحد همبرجر وواحد تشيزبرجر، لو سمحت.,همبرغر واحد وجبنة واحدة ، من فضلك.
657,بتاخد كام في العملية؟,هل تأخذ العملية؟
658,كل حد فينا عاوز يدفع للوجبات بتاعتنا.,كل شخص فينا يريد دفع ثمن الوجبات.
659,الموقع كان على كرسى فى اللوبى.,كان الموقع على كرسي بهو.
660,من فضلك غير الين دول لجنيهات.,يرجى تغيير دول الين للحصول على جنيه.
661,عاوز قاموس جيب، لو سمحت.,أريد قاموس جيب من فضلك.
662,لشخصين الساعة سبعة. الإسم واتانابى.,لشخصين seven.watanabe اسم.
663,ساعتى. كانت سيكو رقمية.,كانت ساعتي.
664,هيكون من دواعى سروورنا إننا نقدملك مشروب من اختيارك، وراه عشا. دليل كامل للمشروبات اللى بنقدمها فى الرحلة دى موجود فى دليل معلومات المجلة بتاعتنا.,سيكون هذا هو الأسباب اللازمة التي نقدم لك مشروبًا من اختيارك ، ورأى ذلك كدليل كامل للمشروبات التي نقدمها في الرحلة في دليل معلومات المجلة.
665,إنت ساكن قريب من هنا؟,هل تبقى على مقربة من هنا؟
666,فين محل الهدايا؟,أين هبة الهدايا؟
667,أنا على الطريق السريع واحد قريب من خليج مورو.,أنا على الطريق السريع واحد بالقرب من خليج مورو.
668,عاوز منبه، من فضلك.,أريد منشطا من فضلك.
669,بالمناسبة، إسمى هيروشى إيجيما.,بالمناسبة ، اسمي هيروشي إيجيما.
670,القطر دة بيقف عند بحيرة فوريست، مش كدة؟,يقف هذا البلد في بحيرة فورست ، ليس كذلك؟
671,معظم اليابانيين بياكلوا أخطبوط وسبيط.,معظم اليابانيين هم الأخطبوط.
672,ممكن آخد تذكرتين درجة تانية لشيكاجو، لو سمحت؟,هل يمكنك أخذ تذاكرتين من الدرجة الثانية لشيكاغو ، من فضلك؟
673,أنا رحت نيويورك.,ذهبت إلى نيويورك.
674,إيه رقم الرحلة؟,ما هو رقم الرحلة؟
675,واحد لنيويورك، من فضلك.,واحد لنيويورك من فضلك.
676,لمدة أيام قليلة.,لعدة أيام.
677,التانى ناحية الشمال.,والثاني هو الشمال.
678,الكارت دة، أوكى؟,البطاقة ، حسنًا؟
679,هو دة مكتب الاستقبال؟ فى عيادة قريبة؟,هل مكتب الاستقبال؟ في عيادة قريبة؟
680,عشرة دولار هتكفى بالتاكسى؟,عشرة دولارات ستكون كافية لسيارة الأجرة؟
681,دة طعمه غريب.,هذا الطعم غريب.
682,أه. استنى، هجيبلك واحد.,نعم ، سأعطيك واحدة.
683,نص إزازة، من فضلك.,نص إيزازا من فضلك.
684,مش حقيقى. حاجة مش غالية بس.,ليس حقيقيا. لا ليست مكلفة.
685,بتدور على حاجة؟,هل تحتاج إلى حاجة؟
686,أربع ليالى.,أربع ليال.
687,محتاج شرابات.,أحتاج شرابات.
688,ممكن تخليه أرخص علشان فى شوية بقع؟,هل يمكنك تركها أرخص لقضاء القليل من المواقع؟
689,راجل خبط فيا. بعد كدة لاحظت ان محفظتى اختفت.,رجل أفسد. بعد ذلك ، لاحظت أن محفظتي اختفت.
690,مش متأكد إذا كنت وضبت هدوم كفاية لرحلة تلات أسابيع.,ليس من المؤكد ما إذا كنت تعطي ما يكفي لفترة طويلة لمدة أسبوع.
691,طيب، إحنا عاوزين نجرب نبيذ أبيض.,حسنًا ، نريد تجربة النبيذ الأبيض.
692,لو أى حد سأل عليا، قولهم إنى هكون فى الكوفى شوب.,إذا سألني أحد ، يقولون إنني سأكون في متجر الكفي.
693,أنا متأكد إنه كان معايا فى الجيب اللى جوة البالطو بتاعى.,أنا متأكد من أنه كان معي في الجيب وهو جيب موهوب.
694,ممكن آخد اسم ورقم الطرف اللى بتكلمه؟,هل يمكنني أخذ اسم الحزب وعدد الحزب للتحدث؟
695,هى شركة الطيران هتدفع لى علشان أشترى حبة ضروريات شخصية أساسية؟,هل شركة الطيران التي ستدفع لي لشراء حبوب منع الحمل من الضروريات الشخصية الأساسية؟
696,من فضلك عاوز أوضة بحمام.,من فضلك تريد حمام مع حمام.
697,مفيش حاجة طلعت من المكنة؟,ليست هناك حاجة للخروج من الجهاز؟
698,انت كان المفروض تاخد رحلة تمانية اتنين زيرو، اللى مشيت من خمستاشر دقيقة. تمام. أنا ممكن أرتبلك رحلة تانية.,كان من المفترض أن تقوم برحلة من Zero ، التي سارت من خمس دقائق.
699,فى حد فتح الطرد بتاعى.,في حد فتح الطرد.
700,أوه، ولا يهمك. المهم إنك هنا، على كل حال.,أوه ، وأنت لا تهتم. الشيء المهم هو أنك هنا ، على أي حال.
701,الخطوط الجوية اليابانية، رحلة رقم واحد اتنين تلاتة.,الخطوط الجوية اليابانية ، الرحلة الأولى الثانية ثلاثة.
702,محتاج أشترى شامبو.,أنا بحاجة لشراء الشامبو.
703,ممكن تقوللى لما نوصل لمركز المدينة؟,هل يمكن أن تخبرني عندما نصل إلى وسط المدينة؟
704,فين أقرب جزار؟,أين يوجد أقرب جزار؟
705,إحنا عاوزين نقعد أربع ليالى من أول أغسطس.,نريد أن نجلس أربع ليال من الأول من أغسطس.
706,إيه إسم الوردة دى؟,ما هو اسم الوردة؟
707,خمستاشر سبتمبر هو يوم احترام كبار السن.,الخامس من سبتمبر هو يوم احترام المسنين.
708,مفيش صابون فى أوضتى.,لا يوجد صابون في حالتي.
709,فى أى حاجة ممكن أخدها للطفح الجلدى؟,ما الحاجة التي يمكنك أن تأخذها للطفح الجلدي؟
710,ممكن تغير صيغة الكلام للى انت لسة قايله حالا؟,هل يمكنك تغيير صيغة الكلام التي ما زلت تقولها على الفور؟
711,هياخد وقت أد إيه للطلب؟,هل تأخذ وقتا للطلب؟
712,ممكن تتكلم بصوت أعلى شوية، من فضلك؟,هل يمكنك التحدث بأعلى قليلاً من فضلك؟
713,هيكون وقت أد إيه قبل ما يخرج؟,هل سيكون الوقت قبل ما يخرج؟
714,فين المعلومات الرياضية؟,أين هي المعلومات الرياضية؟
715,هو المقاس دة، اللى انت بتسميه مقاس عادى، هينفع.,هذا هو الحجم ، الذي تسميه الحجم العادي ، سوف يستفيد منه.
716,الجولة هتخلص فين، وإمتى؟,الجولة أين ، ومتى؟
717,المفروض أغير قطورات فين علشان أوصل لإدنبره؟,أفترض أنني غيرت أين تصل إلى عدنبر؟
718,من فضلك عاوز أحط دة فى صندوق امانات.,من فضلك ، أريد أن أضع هذا في صندوق الثقة.
719,أقدر أغير فلوسى فين؟,يمكنني تغيير أموالي؟
720,ممكن نسيب حاجاتنا، ماعدا الحاجات الغالية، فى الأتوبيس؟,هل يمكن لتلبية احتياجاتنا ، باستثناء الاحتياجات الثمينة ، على الحافلة؟
721,أنا مستغرب الرقم اللى على فاتورتى دة بتاع إيه.,أنا مندهش من الرقم على فاتورتي لماذا.
722,أنا هدفع خمسين دولار.,أنا أدفع خمسين دولارًا.
723,دلوقتى عرفت كانت إيه المشكلة.,الآن عرفت ما هي المشكلة.
724,معاك إيكيدا اللي بيتكلم. عندى حجز ترابيزة الساعة ستة ونص الليلة دى. بس آسف هوصل نص ساعة متأخر.,معكم ، Ikida الذي يتحدث
725,كام مللى برفان أقدر أخدها من غير رسوم جمركية؟,كيف يمكنني أخذها بدون واجبات جمركية؟
726,مجرد سياحة.,مجرد السياحة.
727,دة كويس، لو سمحت تمضيهم. تحبه يكون إزاى؟,هذا جيد ، يرجى الذهاب ، هل تحب ذلك؟
728,لسة عندك كراسى لعرض النهاردة؟,هل لا تملك كراسي لي اليوم؟
729,عاوز واحد كبير.,اريد واحدة كبيرة.
730,أنا فضلت نايم لحد ما رن منبه الساعة ستة ونص.,فضلت نايم إلى حد ما رن لمدة ست ساعات ونص.
731,أنا مصور حر.,أنا مصور مجاني.
732,الديلرز ممكن يصرفولك دولاراتك علشان بقشيش الكازينو، نمشى؟,يمكن أن تنفق الصفقات دولاراتك بسبب كريم الكازينو ، نسير؟
733,عندنا حوالى تلاتين نوع من زيوت الحمام.,لدينا حوالي نوعين من زيوت الحمام.
734,هجيبلك العرض الأسبوع الجاى.,سأريك في الأسبوع المقبل.
735,شكرا. بكام الجوانتى دة؟,شكرا. كم هذا؟
736,لازم أمشى. هكلمك بعدين.,لا بد لي من المشي ، سأتحدث إليكم بعدين.
737,عاوز حفاضات استعمال مرة واحدة.,أريد استخدام مرة واحدة.
738,أسماك الفراشة دى نشأت فين؟,سمك الفراشة ، أين؟
739,ممكن تغيرهم لدولارات. لو سمحت؟,يمكنك تغييرها مقابل الدولار.
740,إحنا محظوظين جدا. عندهم واحد مقاس أربعة فى محل ألا موانا.,نحن محظوظون للغاية. لديهم حجم واحد أربعة في مكان al -mawana.
741,فى أى ليموزين؟,في أي ليموزين؟
742,ممكن مكالمة تصحينى الساعة خمسة ونص بكرة الصبح؟,هل يمكنك الاتصال بي الساعة الخامسة والنص في الصباح؟
743,أفضل أوضة هادية.,أفضل جيلي.
744,من فضلك عاوزة أسيتون.,من فضلك تريد الأسيتون.
745,من فضلك عاوز بطارية.,من فضلك تريد بطارية.
746,فى فرقة موسيقية لايف ولا دى جى؟,في الفرقة لايف أو دي جي؟
747,ممكن أأجر عدة غطس؟,هل يمكنني استئجار العديد من الغوص؟
748,أنا عاوز أحجز أوضة لأربع ليالى من اتنين وعشرين ديسمبر.,أريد حجز كيس لمدة أربع ليال من 2 ديسمبر.
749,الشنطة دى مثالية لكل أحوال الجو؟,هذا مثالي لجميع الظروف الجوية؟
750,عاوز دونات، من فضلك.,أريد دونات من فضلك.
751,عاوز أأجر عربية أوتوماتيك لمدة يومين.,أريد استئجار العربية لمدة يومين.
752,فاتتنى رحلة طيران عشرين اللى رايحة سان فرانسيسكو.,فاتني رحلة العشرين من سان فرانسيسكو.
753,بكام لحد المطار؟,كم إلى المطار؟
754,كويس. دة إمتى؟,جيد عندما؟
755,بنتك عندها كام سنة؟,ابنتك لديها سنة؟
756,ممكن تقوللى على فنادق رخيصة و نضيفة؟,هل يمكن أن تخبرني بالفنادق الرخيصة والنظيفة؟
757,إحنا ممكن نحجزلك أوضة مريحة فى برج قديم قريب من نادى جولف مشهور.,يمكننا أن نحمل لك ضوءًا مريحًا في برج قديم بالقرب من نادي الجولف الشهير.
758,أنا أرشح دة علشان معمول من مواد طبيعية مية فى المية.,أنا مرشح لهذا الماء في الماء.
759,هو القطر بيقف فى برايتون؟,هل البلد يقف في برايتون؟
760,ممكن تقوللى منين أقدر أجيب كاب؟,هل يمكن أن تخبرني أين يمكنني الإجابة على غطاء؟
761,تذكرتين درجة تانية، من فضلك.,تذاكر اثنين من الدرجة الثانية من فضلك.
762,من فضلك عاوز أبعت فاكس.,من فضلك تريد بيع الفاكس.
763,من فضلك عاوز مكوة سفر.,من فضلك تريد آلة السفر.
764,أقدر أقدملك أى حاجة؟,يمكنني أن أفعل أي حاجة؟
765,يومى؟ خايف أسأل، بس تقصد إيه؟,يوميًا؟ أخشى أن أسأل ، لكن ماذا تقصد؟
766,أنا عاوز واحد يشيل مستندات بحجم ورق عادي من غير ما أحتاج أتنيهم.,أريد أن يقوم المرء بتحويل المستندات بحجم ورقة عادية بدون ما أحتاجه.
767,أه. بس مش جامد أوى.,نعم ، لكنني لست جامدًا.
768,أنا عندى حساسية من القطط.,أنا حساسية من القطط.
769,أيوة، إنت المفروض يكون معاك رخصة سواق و، آه، المفروض يكون معاك رخصة من لجنة عربيات الأجرة والليموزين.,أوه ، من المفترض أن يكون لديك سائق وترخيص AH ، ومن المفترض أن يكون لديه ترخيص من لجنة الضريبة ولوموزين.
770,إتفضل، يا فندم.,المضي قدما ، الأسف.
771,مش باين إنى هلاقى مية سخنة.,أنا لست ماء ساخن.
772,من فضلك عاوز أحجز أوضة لليلة دى.,من فضلك ، أريد حجز هذه الليلة.
773,لأ، دة مش شامل الضريبة ورسوم الخدمة.,لا ، هذا ليس شاملاً لرسوم الضرائب والخدمة.
774,تحب تيجى معايا نعمل شوبينج النهاردة بعد الضهر؟,هل تحب أن تأتي معي ، هل التسوق اليوم في فترة ما بعد الظهر؟
775,هاى، دة فعلا فستان جميل.,مرحبًا ، هذا حقًا فستان جميل.
776,دلوقتى، مكالمتك اتحولت، اتفضل لو سمحت.,الآن ، تحولت مكالمتك ، من فضلك.
777,رقم البوابة كام؟,رقم بوابة كاميرا؟
778,إيه أكتر هدية تذكارية مثالية من هاواى؟,ما هو أكثر هدية تذكارية من هاواي؟
779,أقدر أوصل هناك عن طريق مترو الأنفاق؟,هل يمكنني الاتصال هناك من خلال مترو الأنفاق؟
780,عاوز سيشوار.,اريد شارع.
781,إحنا هنروح أى مكان بيتكلموا فيه زى كدة؟,سوف نذهب إلى أي مكان يتحدثون فيه هكذا؟
782,أنا جاى من نورواى.,أنا من النرويج.
783,من عشرة لاتناشر لو سمحت.,من عشرة لا تنشر ، من فضلك.
784,بالتأكيد. خلينى أشوفه. إنت أتعورت من المرجان، متهيألى.,بالتأكيد.
785,احتياطي، خلينى آخد رقم الشخص المسئول.,احتياطي ، دعني آخذ الشخص المسؤول.
786,فى طريق سريع؟,على طريق سريع؟
787,هو مجاش ليه الحفلة إمبارح؟,لماذا الحزب هو الحزب أمس؟
788,كان فى حادثة مرور.,كان في حادث مروري.
789,أسف، أخدت الرقم الغلط.,آسف ، لقد أخطأت.
790,من فضلك دخل رقم التعريف الشخصى بتاعك.,الرجاء إدخال رقم التعريف الشخصي الخاص بي.
791,مش عارف أظبط الصورة.,لا أعرف الصورة.
792,واحد تشيزبرجر وعصير برتقان، من فضلك.,تشيز برجر واحد وعصير endeen من فضلك.
793,الباسبور بتاعى أهو.,جواز سفر
794,ليه، شكرا جدا. آه، ممكن أطلع لفوق؟,لماذا ، شكرا جزيلا لك ، هل يمكنني الخروج أعلاه؟
795,ممكن أخد تذكرتين للمسرحية الموسيقية للجمعة الجاية؟,هل يمكنك أخذ تذكرتين لجمعة الجمعة القادمة؟
796,فى راكب تانى هناك قال إنه ممكن يبدل الكراسى معاك.,في راكب آخر هناك ، قال إنه يمكن أن يحل محل الكراسي معك.
797,هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.,Hyu هناك ، عن طريق الارتباط مقابل مكتب المعلومات السياحية.
798,أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون.,لم أسمع قط عن هذا العنوان في المنطقة.
799,امشي دغري لعند ما تشوف صيدلية.,المشي الخنجر لما ترى صيدلية.
800,كم سعر الفطور؟,كم الإفطار؟
801,كيف بقدر أساعدك؟,كيف يمكنني مساعدك؟
802,روح يسار من عند الدخلة التالتة.,الروح اليسرى من الدخل التالي.
803,بتحب الكريمة والسكر مع قهوتك؟,هل تحب الكريم والسكر مع قهوتك؟
804,ممكن تصرفلي الشيك بميتين دولار؟,هل يمكنك إجراء الشيك بدولارين؟
805,ازا بده يظهر، لو سمحت كلمني.,كيف تظهر ، يرجى التحدث معي.
806,وين الكوفي شوب؟,أين المقهى؟
807,بدي بلوفر أطفال.,أريد أطفال.
808,طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.,جيد. في تكاليف التمنيات وخمسين سنتًا للبريد العادي وثلاثة دولارات في مجال إضافي للتسليم الخاص.
809,أنا كنت راح أشتريه لو كنت محلك.,كنت سأشتريها لو كنت متجرك.
810,راح يكون عندي أي صعوبة في التعامل مع الجمارك؟,لدي أي صعوبة في التعامل مع الجمارك؟
811,عندك كندرة رسمية واسعة من عند الأصابع؟,هل لديك هذيان رسمية واسعة من الأصابع؟
812,لا. ممكن أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.,لا. يمكن أن أقترح عليك بدلاً من غرفة مزدوجة تستخدمها بشكل فردي.
813,أنا بدي اياه كتير مموج، لو سمحت.,أريدها الكثير من المتموج ، من فضلك.
814,بدها خمرة.,إنها تريد أن تكون نبيذ.
815,صباح الخير. كيف حالك؟,صباح الخير. كيف حالك؟
816,أسف راح أحتاج أشوف اثبات هوية.,آسف ، أنا بحاجة إلى رؤية دليل على الهوية.
817,أي نوع من الصوص؟,أي نوع من الصلصة؟
818,هاد بارد شوي. ممكن تسخنه؟,هذا بارد. هل يمكنك تسخينه؟
819,آسف، بس هاد المكان محجوز.,آسف ، لكن هذا المكان محجوز.
820,أنا تمام، بس ممكن أحكي مع صاحبي؟,أنا بخير ، لكن هل يمكنني إخبار صديقي؟
821,شكراً، هيك بكفي.,شكرا ، هذا يكفي.
822,مين صاحبك المفضل؟,من هو صديقك المفضل؟
823,يوم الصحة والرياضة بعشرة أكتوبر بكون عطلة وطنية عملوه عشان يرفعوا مستوى الصحة عند الناس.,يوم الصحة والرياضة في العاشرة من أكتوبر ، كعطلة وطنية قاموا بها لرفع مستوى الصحة للناس.
824,بدك اياني أشيك تحت غطا الموتور؟,هل تريد التحقق تحت ازدراء المحرك؟
825,ممكن تساعدني ألاقي شنتة سفري؟,هل يمكنك مساعدتي في حقيبة سفر؟
826,ممكن إتطور الترتيبات؟,هل يمكن أن تتطور الترتيبات؟
827,حد عم بساعدني، شكراً الك.,لا أحد ساعدني ، شكرا لك.
828,لما توصل هناك، اسأل حد تاني، لو سمحت.,عندما وصل إلى هناك ، اسأل شخصًا آخر ، من فضلك.
829,حابب أمدد يوم، لو سمحت.,أود تمديد يوم واحد من فضلك.
830,هي دولارين. خلي الباقي إلك.,إنه اثنان دولار. اربط الباقي.
831,واحد همبرغر وواحد برجر بالجبنة، لو سمحت.,همبرغر واحد وبرجر واحد مع الجبن ، من فضلك.
832,كم تاخد عشان العملية؟,كم تأخذ بسبب هذه العملية؟
833,احنا كل واحد حابب يدفع على وجبته.,نحن كل من يحب دفع وجبته.
834,الموقع كان موجود على كرسي باللوبي.,كان الموقع على كرسي بهو.
835,لو سمحت اصرفلي هدول من ين لجنيهات.,إذا سمحت يدي بالانتقال من الين مقابل الجنيهات.
836,بدي قاموس بحجم الجيبة، لو سمحت.,أريد قاموسًا بحجم الجيب من فضلك.
837,لشخصين الساعة سبعة. الاسم واتاناب.,لشخصين seven.watanab اسم.
838,ساعتي. كانت رقمية من سيكو.,كانت ساعتي الرقمية من Seko.
839,راح نكون كتير مبسوطين نقدملك الشراب اللي بتختاره، وبيلحقة العشا. منوفر قائمة كاملة من الشراب على هاي الطيارة موجودة بمجلة المعلومات التوجيهية تبعتنا.,سنكون سعداء للغاية ، ونقدم لك المشروب الذي تختاره ، والشرق. توجد قائمة كاملة من المشروبات في The Hi Pilot في مجلة Infidence Information.
840,انت عايش بالمنطقة هون؟,هل تعيش في المنطقة؟
841,وين محل الهدايا؟,أين هبة الهدايا؟
842,أنا بالشارع الرئيسي الأول قريب من المارو بايه.,أنا في الشارع الرئيسي الأول بالقرب من خليج مارو.
843,بدي ساعة منبه، لو سمحت.,أريد ساعة تنبيه من فضلك.
844,بالمناسبة، اسمي هيروشي ايجيما.,بالمناسبة ، اسمي هيروشي إيجيما.
845,هاد القطار بوقف عند بحيرة الغابة. مش هيك؟,تم إيقاف القطار عند بحيرة الغابة.
846,أغلب اليبانيين بياكلو الأخطبوط والحبار.,معظم Yibanin Bayalu الأخطبوط والحبر.
847,ممكن أحجز بطاقتين لتشيكاغو من الدرجة التانية، لو سمحت؟,هل يمكنني حجز بطاقتين للثاني -فئة Class Chicago ، من فضلك؟
848,أنا رحت على نيويورك.,ذهبت إلى نيويورك.
849,كم رقم رحلة الطيران؟,كم عدد الرحلات الجوية؟
850,وحدة لنيويورك، لو سمحت.,وحدة لنيويورك من فضلك.
851,لحوالي كم يوم.,لعدد الأيام.
852,التاني على الشمال.,الثاني في الشمال.
853,هاي البطاقة، طيب؟,مرحبا البطاقة ، حسنا؟
854,هاد مكتب الاستقبال؟ في عيادة قريبة من هون؟,مكتب الاستقبال هذا؟ في عيادة قريبة من هون؟
855,بكفو عشرة دولار للتكسي؟,خمسة دولارات تاكسي؟
856,هاد الطعم غريب.,هذا الطعم غريب.
857,طيب. استنى، راح أجبلك وحدة.,جيد ، أنا ، سأكون الوحدة.
858,نص عبوة، لو سمحت.,نص التعبئة ، من فضلك.
859,مش هيك. بس اشي مش غالي.,ليس هذا. لكن شيئًا ما ليس مكلفًا.
860,انت بتستنى اشي؟,ألست كذلك؟
861,أربع ليالي.,أربع ليال.
862,محتاج شوية جرابات.,أحتاج إلى قرون صغيرة.
863,بتقدر ترخصلي اياه لأنه هون عليها شوية بقع؟,يمكنك أن تنظر إليها لأنها نقاط صغيرة عليها؟
864,في رجال ضرب في . وبعدها لاحظت أنه محفظتي انسرقت.,في الرجال الذين ضربوا. ثم لاحظت أن محفظتي سرقت.
865,أنا مش متأكد اذا عندي ملابس مضبوبة تكفيني لرحلة مدتها ثلاث أسابيع.,لست متأكدًا ، إذا كان لديّ منصات ، فأنا يكفي بالنسبة لي في رحلة لمدة ثلاثة أسابيع.
866,طيب، احنا حابيين نجرب الخمر الأبيض.,حسنًا ، نحن محبوبون من النبيذ الأبيض.
867,اذا أي حد سأل عني، احكيلهم اني راح أكون بالكوفي شوب.,إذا سأل أي شخص عني ، أخبرهم أنني سأكون المقهى.
868,أنا متأكد انه كان بالجيبة جوا كبوتي.,أنا متأكد من أنه كان في الإجابة علي.
869,ممكن تعطيني الاسم والرقم للجهة اللي بتتصل فيها؟,هل يمكنك أن تعطيني الاسم والرقم إلى الجانب الذي تتصل به؟
870,راح تدفعلي شركة الطيران عشان أشتري شوية أشياء من الضروريات الشخصية الأساسة؟,هل ستفعل شركة الطيران لشراء بعض الأشياء من الضروريات الأساسية؟
871,بدي غرفة مع حمام.,أريد غرفة مع حمام.
872,ما في أي انتاج من الآلة؟,ما هو إنتاج الجهاز؟
873,انت كان المفروض تطلع برحلة الطيران رقم ثمانمية وعشرين، اللي أقلعت من خمسطعشر دقيقة. على العموم. أنا بقدر أرتبلك رحلة تانية.,كان من المفترض أن تنظر إلى رقم الرحلة ثمانية وعشرون ، والتي أقلعت من خمس دقائق.
874,في حد فضالي الطرد البريدي.,في الحد الأقصى للبريد.
875,أووه، ولا اشي. انت هون، على كل حال.,أوه ، وأنا لا ، أنت هنا ، ولكن.
